Category,Suffix
Corporations / LLCs / Private Companies,Ltd
Corporations / LLCs / Private Companies,Ltd.
Corporations / LLCs / Private Companies,Limited
Corporations / LLCs / Private Companies,LLC
Corporations / LLCs / Private Companies,L.L.C.
Corporations / LLCs / Private Companies,Inc
Corporations / LLCs / Private Companies,Inc.
Corporations / LLCs / Private Companies,Incorporated
Corporations / LLCs / Private Companies,Corp
Corporations / LLCs / Private Companies,Corp.
Corporations / LLCs / Private Companies,Corporation
Corporations / LLCs / Private Companies,GmbH
Corporations / LLCs / Private Companies,S.A.
Corporations / LLCs / Private Companies,N.V.
Corporations / LLCs / Private Companies,B.V.
Partnerships,LP
Partnerships,LLP
Partnerships,LLLP
Partnerships,KG
Partnerships,SNC
Partnerships,V.o.f.
Non-Profits / Associations / Societies,NPO
Non-Profits / Associations / Societies,NGO
Non-Profits / Associations / Societies,Ltd by Guarantee
Non-Profits / Associations / Societies,ASBL
Non-Profits / Associations / Societies,e.V.
Non-Profits / Associations / Societies,Co-op
Other Legal Forms,S.L.
Other Legal Forms,OÜ
Other Legal Forms,Zrt.
Other Legal Forms,d.o.o.
Other Legal Forms,S.r.l.
Other Legal Forms,SpA
Other Legal Forms,S.C.
Other Legal Forms,j.t.d.
Banks,Bank
Banks,Banque
Banks,Banco
Banks,Banca
Banks,Trust Co.
Banks,Trust Company
Banks,Savings Bank
Banks,Commercial Bank
Insurance,Insurance Co.
Insurance,Insurance Company
Insurance,Assurance
Insurance,Reinsurance
Insurance,Mutual Insurance
Investment and Financial Services,Asset Management
Investment and Financial Services,Investment Management
Investment and Financial Services,Fund
Investment and Financial Services,Fund Management
Investment and Financial Services,Securities
Investment and Financial Services,Brokerage
Investment and Financial Services,Investment Trust
Credit Institutions,Credit Union
Credit Institutions,Microfinance Institution
Credit Institutions,Credit Cooperative
Credit Institutions,Savings & Loan
Other Financial Institutions,Mortgage Company
Other Financial Institutions,Leasing Company
Other Financial Institutions,Financial Corp
Other Financial Institutions,Financial Services
Other Financial Institutions,Capital Management
Other Financial Institutions,Wealth Management
