Country,Business Entity Suffixes
Afghanistan,"LLC, JSC"
Albania,"Sh.p.k., S.A., S.E."
Algeria,"SPA, SARL, EURL"
Angola,"LDA, SARL"
Antigua and Barbuda,"Ltd., Inc."
Argentina,"S.A., SRL, S.A.S., S.C., S.G.R."
Armenia,"LLC, OJSC"
Australia,"Pty Ltd, Limited, NL, Inc., Trust, Unit Trust, Partnership"
Austria,"GmbH, AG, OG, KG"
Azerbaijan,"LLC, OJSC, CJSC, Partnership"
Bahamas,"Ltd., Corp."
Bahrain,"W.L.L., B.S.C."
Bangladesh,"Ltd., Pvt Ltd, Partnership"
Barbados,"Ltd., Inc."
Belarus,"OOO, OAO, ZAO, UP"
Belarus,"OOO, ZAO"
Belgium,"NV, BV, CV, SCRL, Comm. V."
Belize,"Ltd., LLP, Inc."
Bhutan,"Ltd., Pvt Ltd."
Bolivia,"SRL, SA, EIRL"
Bolivia,"S.R.L., C.L."
Bosnia and Herzegovina,"d.o.o., d.d., k.d."
Bosnia and Herzegovina,"d.o.o., A.D."
Botswana,"PTY Ltd., BWP, "
Botswana,"Pty Ltd., Ltd."
Brazil,"LTDA, SA, EIRELI, MEI"
Brunei,"SDN BHD, BHD"
Bulgaria,"OOD, AD, EOOD, EAD"
Burundi,"SARL, EURL"
Burundi,"S.A., SARL"
Cambodia,"Ltd., LLC"
Cameroon,"SARL, SA, SNC"
Cameroon,"S.A., S.R.L."
Canada,"Ltd., Inc., Corp., ULC, LP, LLP"
Cape Verde,"LDA, S.A."
Central African Republic,S.A.
Chad,"SARL, SA"
Chile,"LTDA, SA, EIRL, SpA"
China,"Ltd., Co., WFOE, JV, Rep. Office"
Colombia,"SAS, SA, LTDA, SCA"
Comoros,"S.A.R.L., S.A."
Congo (Brazzaville),"S.A., EURL"
Congo (Kinshasa),"EURL, SARL"
Costa Rica,"S.A., S.R.L."
Croatia,"d.o.o., d.d., j.d.o.o."
Cuba,"S.A., S.R.L.,"
Cyprus,"Ltd., Plc, LLC"
Czech Republic,"s.r.o., a.s., v.o.s., k.s."
Denmark,"ApS, A/S, IVS, P/S"
Djibouti,"SARL, EURL,"
Dominica,"Ltd., PLC"
Dominican Republic,"S.A., S.R.L.,"
East Timor,"Pvt Ltd., Ltd."
Ecuador,"S.A., Cía. Ltda., SARL"
Egypt,"SAE, LLC, JV, Ltd., Sole Proprietorship"
El Salvador,"S.A. de C.V., S.R.L."
Equatorial Guinea,"S.A., SARL"
Eritrea,S.A.
Estonia,"OÜ, AS, UÜ"
Eswatini,"S.A.R.L., LLC"
Ethiopia,"PLC, SC, PE"
Fiji,"Pte Ltd., Ltd., FJ, PLC"
Finland,"Oy, Oyj, Ky, Ay, Osk"
France,"SARL, SAS, SASU, SA, SCI"
Gabon,"S.A., SARL,"
Gambia,"Ltd., S.A."
Georgia,"LLC, JSC"
Germany,"GmbH, AG, KG, OHG, GmbH & Co. KG"
Ghana,"Ltd., PLC, Unltd."
Greece,"A.E., E.P.E., O.E., E.E., I.K.E."
Grenada,"S.A.,"
Guatemala,"S.A., S.R.L.,"
Guinea,"SARL, SA,"
Guinea-Bissau,"Ltd., LLC"
Guyana,"Inc., Ltd., PLC, Pvt Ltd., Ltd."
Haiti,"S.A.R.L.,"
Holy See,"Ltd., S.A."
Honduras,"S.A., S.R.L., LLC"
Hungary,"Kft., Rt., Bt., Kkt."
Iceland,"Ehf., Hf., Slf."
India,"Pvt Ltd, LLP, Ltd., OPC, Partnership"
Indonesia,"PT, CV, Firma, Perusahaan Perseorangan"
Iraq,"Ltd., PSC, Pvt Ltd."
Ireland,"Ltd., PLC, DAC, CLG, ULC"
Israel,"Ltd., Inc., Partnership, Cooperative"
Italy,"SRL, SPA, SNC, SAS"
Ivory Coast,"SARL, SA, SCA"
Jamaica,"Ltd., LLC, Partnership"
Japan,"KK, GK, YK, Kabushiki Kaisha, Gōdō Kaisha"
Jordan,"LLC, PSC, PLC"
Kazakhstan,"LLP, JSC, PE, SP, Sh.a., Sh.p.k."
Kenya,"Ltd., PLC, LLP, Cooperative"
Kosovo,"LLC, JSC"
Kuwait,"WLL, KSCC, SPC"
Kyrgyzstan,"Corporation, Inc."
Latvia,"SIA, AS"
Lebanon,"SAL, SARL, SNC"
Lesotho,"Pvt Ltd., Ltd."
Liberia,"JSC, LLC"
Libya,"SARL, SA,"
Liechtenstein,S.A.R.L.
Lithuania,"UAB, AB"
Luxembourg,"S.A., S.à r.l."
Luxembourg,"Ltd., S.A."
Madagascar,"Ltd., PLC, Pvt Ltd."
Malawi,"Pvt Ltd., Ltd."
Malawi,"S.A., Ltd."
Malaysia,"Sdn Bhd, Bhd, LLP, Sole Proprietor"
Maldives,"SARL, SA, SNC"
Maldives,"Ltd., Inc."
Malta,"Ltd., PLC"
Marshall Islands,S.A.R.L.
Mauritania,"Ltd., PLC"
Mauritania,"Ltd., S.A."
Mauritius,"SRL, SA, SNC"
Mauritius,"S.A., Ltd."
Mexico,"S.A. de C.V., S. de R.L. de C.V., SAPI de C.V., SA"
Micronesia,"Ltd., LLC"
